code,label,lng,lat,gend,northing,population,households,populationDensity,lgb1,lgb2,lgb3,lgb4,lgb5,lgb6,lgb7
E07000063,Lewes,0.0053,50.8815,905,111026,99912,43688,342,8.92088267,7.02799955,5.439491672,4.990714949,3.795379538,2.067142056,0.889784269
E07000064,Rother,0.5386,50.9518,25040,119997,93111,42102,182.8,6.813627255,5.488211003,3.626943005,3.279142804,2.165471924,1.296388632,0.521376434
E07000065,Wealden,0.1979,50.9676,160,120966,160146,68266,192.2,5.947394874,5.043633615,3.217123814,2.518192264,1.514014566,0.848330309,0.400237979
E07000066,Basildon,0.4657,51.5903,1235,190821,187576,76362,1705.1,5.089198436,4.053999434,2.392004349,1.568128841,0.849593875,0.432357917,0.209111277
E07000067,Braintree,0.5901,51.942,26570,230213,155267,64986,253.8,5.833203186,4.609517493,2.78992527,1.737406166,1.16031011,0.531947795,0.234888819
E07000068,Brentwood,0.3107,51.6385,120,195829,77045,32342,503.2,4.635332253,3.802485004,1.933992012,1.395625062,1.047010784,0.400331309,0.185687759
E07000069,Castle Point,0.5937,51.5363,1165,185122,89591,37389,2005.4,4.347826087,3.650656903,1.944119834,1.41134435,0.862820289,0.364996806,0.262944984
E07000070,Chelmsford,0.481,51.7254,29175,205876,181527,75401,535.9,6.161602933,4.894949585,2.465304715,1.684456304,1.056657901,0.598106962,0.24592888
E07000071,Colchester,0.8614,51.8726,95,223202,192716,79710,587.2,9.231746652,5.991009399,3.531807039,2.559178391,1.59579597,0.751305981,0.401273004
E07000072,Epping Forest,0.1482,51.7088,1125,203300,134981,54557,398.2,4.106685507,3.756021351,2.566361287,1.879910213,1.190053286,0.702685821,0.256138491
E07000073,Harlow,0.1089,51.769,27510,209915,93334,37857,3056.1,5.552855407,4.230681904,2.911654279,1.759956455,1.372568382,0.781024009,0.194621373
E07000074,Maldon,0.7838,51.7092,50,204831,66208,27900,185,5.788497217,4.240447344,2.518040841,1.558355438,1.068734283,0.518697226,0.229324925
E07000075,Rochford,0.8101,51.5912,1125,191782,85667,35557,512.7,4.771178189,3.149246919,1.752360965,1.503109883,1.097136741,0.42386023,0.157533476
E07000076,Tendring,1.1155,51.8713,20475,223776,148287,67451,440.9,5.843293493,4.491470525,3.400167721,2.324226714,1.383709519,0.764614789,0.383867066
E07000077,Uttlesford,0.2795,51.9349,40,228707,91340,36958,142.5,5.725512209,4.15190434,2.506466863,1.478801227,1.016751396,0.607507051,0.305966344
E07000078,Cheltenham,-2.0729,51.8963,930,221973,118833,52899,2549.3,11.46110372,7.328958482,3.687038281,2.646306916,1.759360233,0.939672994,0.545715653
E07000079,Cotswold,-1.8925,51.8164,17425,213072,90834,40597,78,6.190191388,4.913401302,2.762838764,2.192729371,1.497529456,0.753311975,0.386884612
E07000080,Forest of Dean,-2.4898,51.8287,35,214546,87006,37217,165.4,6.625701309,5.11108553,3.211173451,1.789264414,1.164021164,0.719948966,0.267648043
E07000081,Gloucester,-2.2404,51.8499,1255,216834,132409,55407,3266.6,7.30994152,5.992316073,3.559064683,2.304878049,1.434201176,0.817714076,0.224143452
E07000082,Stroud,-2.3001,51.7296,16490,203473,121103,52378,263,7.968923418,5.61845218,3.721856333,2.32921119,1.654719235,0.971769045,0.355751313
E07000083,Tewkesbury,-2.088,51.9456,115,227458,94888,40931,229,6.499575191,4.621616645,2.719141324,1.800820839,1.187139324,0.563708815,0.297062383
E07000084,Basingstoke and Deane,-1.2012,51.2735,1420,153006,185148,76645,292.1,7.44751528,5.541017653,3.185154976,2.11289939,1.169431602,0.512101445,0.343771019
E07000085,East Hampshire,-0.9548,51.0744,18980,131076,125741,52718,244.4,7.424428105,4.96512105,2.736137389,1.859975434,1.119424296,0.560482441,0.264365135
E07000086,Eastleigh,-1.3279,50.9331,140,115065,136446,56924,1712.1,6.712517194,5.609467456,2.771098134,1.813397403,1.172112231,0.619756632,0.258977901
E07000087,Fareham,-1.2262,50.8524,1585,106165,114503,48639,1542.1,6.859892569,5.527465935,3.07777514,1.963543761,1.347962382,0.725678434,0.218903917
E07000088,Gosport,-1.1588,50.8055,19005,100995,81955,35922,3229.8,8.197649724,6.989473684,3.965517241,2.164838365,1.769748364,0.816511681,0.25496511
E07000089,Hart,-0.8979,51.2847,175,154529,99409,39964,461.8,6.079434698,4.552876765,2.477947073,1.622988829,1.063225388,0.382815823,0.180241072
E07000090,Havant,-0.9898,50.8387,1630,104842,124207,53589,2228.4,6.588188743,5.394990366,3.181146457,2.088013744,1.23290084,0.666712966,0.318447752
E07000091,New Forest,-1.6255,50.8586,18810,106633,175778,77566,233.7,6.433499118,4.67790409,2.650616698,1.816585005,1.213996667,0.684502692,0.270096463
E07000092,Rushmoor,-0.7676,51.2742,90,153516,99758,39303,2554.9,7.05099278,5.207185007,3.805926787,2.494080505,1.557489693,1.496421601,1.136548141
E07000093,Test Valley,-1.511,51.1285,1295,136669,130488,54708,207.9,6.969635215,5.209251848,2.924088616,1.880254488,1.161059839,0.5612584,0.232577457
E07000094,Winchester,-1.2214,51.0282,16185,125708,127448,51715,192.8,11.74470497,6.246988919,2.922077922,1.824773414,1.247374785,0.787902905,0.325189694
E07000095,Broxbourne,-0.0483,51.7243,65,204646,99005,39849,1924.9,3.999091116,3.792989962,1.978667491,1.305095342,1.010452962,0.378279439,0.197212727
E07000096,Dacorum,-0.541,51.7783,1120,209858,155082,63412,729.8,6.577974871,4.568364611,2.738740467,1.86165001,1.156660211,0.55385076,0.338659257
E07000098,Hertsmere,-0.2807,51.6774,11935,199022,107822,42682,1065.9,5.52905464,4.101743452,2.338938482,1.775106082,0.986161921,0.783059446,0.332620575
E07000099,North Hertfordshire,-0.1924,51.9593,40,230523,133211,56732,354.9,7.766796446,5.752730109,3.331995183,2.166185292,1.179376351,0.717799823,0.238621299
E07000102,Three Rivers,-0.4608,51.6613,905,196949,93774,36858,1055.8,4.775966106,4.107031736,2.26306075,1.32997019,1.057322614,0.545190211,0.351446337
E07000103,Watford,-0.4028,51.6681,8645,197803,102244,39628,4772.2,5.278255881,4.921403462,3.008604987,2.037845706,1.60230074,0.996047431,0.464684015
E07000105,Ashford,0.8119,51.1252,20,139969,132752,53583,228.6,6.087877184,5.03423789,3.323069027,2.232909653,1.564974973,0.779862559,0.348176654
E07000106,Canterbury,1.1014,51.2833,855,158359,157431,63792,509.9,12.66581087,7.935907141,4.104910427,2.839882565,1.992404645,1.033281269,0.490426604
E07000107,Dartford,0.2541,51.4314,12455,172676,116756,45696,1605.3,5.146750524,3.8754118,2.431118314,1.957027508,1.274799493,0.449045778,0.236057834
E07000108,Dover,1.2892,51.2124,155,151044,116407,50548,369.2,7.450852612,5.45266672,3.9528603,2.863467581,2.340800403,1.212467014,0.607668607
E07000109,Gravesham,0.396,51.4056,660,170115,106899,41724,1079.9,5.322040987,4.406753994,2.879234168,2.219747587,1.19725869,0.540779163,0.201562106
E07000110,Maidstone,0.5806,51.2348,17135,151563,175778,71208,446.9,5.725425816,4.760603162,2.917747735,2.141579797,1.416265148,0.51503174,0.210187066
E07000111,Sevenoaks,0.1717,51.276,130,155211,120516,49013,326.4,4.901960784,4.3058522,2.269729992,1.586811558,1.200131883,0.609756098,0.296761805
